word_counts_vec,sent_counts_vec,para_counts_vec,commas_vec,sent_comma_freq_vec,para_comma_freq_vec,words_per_sentence_vec,words_per_paragraph_vec,sents_per_paragraph_vec,consecutive_counts_vec,consecutive_repeat_freq_vec,syll_and_word_freq_vec,polsyll_and_word_freq_vec,syll_and_sent_freq_vec,polsyll_and_sent_freq_vec,unique_counts_vec,type_token_ratio_vec,mean_usage_frequency_vec,median_MATTR,object_freq,relationship_freq,time_freq,self_freq,perceive_freq,i_freq,top_ten_freq,dialogue_freq,question_vec,exclamation_vec,sentiment_vec,label2
-0.255622869,0.054891569,-0.32898287,-0.293123636,-0.658231223,-0.337117878,-0.674313614,-0.262347935,0.211934218,0.245733155,0.532222012,-0.335848716,-0.4536404,-0.663465244,-0.595769763,-0.199701464,-0.082283472,-0.176738591,0.229828023,-0.387457548,-0.091920867,-0.697708354,0.061601286,-0.792240077,0.016483926,-1.002267663,-0.185513374,-0.139863605,0.104131481,0.016946953,lyrical
1.654253653,1.601122103,1.817677581,1.502767194,-0.018909415,-0.381393982,-0.300587454,-0.485582482,-0.469857827,2.042714888,1.102527269,-0.163930149,-0.2496483,-0.315884687,-0.352506201,0.852083723,-1.187390301,1.625699988,-1.371537798,-1.591742032,-0.949545695,-0.406356568,-1.195094046,-1.091469702,-1.201196754,1.984013046,-1.042265221,0.655194387,-0.167723889,-0.370730304,lyrical
-0.618776356,0.127238841,0.345784065,-1.12849862,-1.907438501,-1.157483933,-1.207655005,-0.858697112,-0.502192256,0.622607744,1.253997674,-2.126401257,-1.933985494,-1.245778221,-1.168405724,-0.795730073,-0.391945955,0.195178263,-2.133787928,1.62370821,-1.192094759,-0.249922217,-0.856731781,-0.23840189,-0.778610985,2.776084411,-0.921060084,-0.012904083,-0.735357902,-0.618684524,lyrical
1.391877156,1.936946853,2.146832183,1.524450926,-0.206512147,-0.454768034,-0.670656138,-0.629447902,-0.463886758,1.952592704,0.629651801,-0.283523453,-0.326764332,-0.655593701,-0.553102844,0.661823842,-1.156221841,1.550633031,-0.250581724,-0.312807819,0.325816231,-0.860344955,-0.731968267,-1.342642033,-0.770152895,0.060827252,-0.910016773,0.954902112,3.146736782,-0.715076505,lyrical
0.047484254,0.81068967,0.876009197,-0.322709068,-1.156250372,-0.825260651,-0.990778726,-0.726098046,-0.394725913,0.420515573,-0.242051251,-1.712496243,-1.813828375,-1.043203588,-1.097888891,-0.452191118,-1.05545909,1.321555027,-2.896038059,1.260254406,1.05993387,1.236439009,1.235343932,1.101787572,1.537025322,-0.587924457,-0.37182558,0.049535027,-0.517873606,0.192873193,lyrical
-0.421156085,-0.676277673,-1.065287404,-0.083636729,1.137925096,2.137606585,0.460506194,1.62173877,1.572339038,-0.262228246,1.06461692,-0.387111499,-0.700761082,0.328841705,-0.227398794,-0.286415083,0.183955497,-0.44525292,-0.372285526,-0.230740467,-0.508042731,-0.919740807,-1.433355589,-0.699015072,-1.42860825,0.000975807,-0.985949435,-0.516579564,-0.493950333,-0.224296045,lyrical
0.790831411,0.390459768,0.073158188,1.00165246,0.677729271,0.288421432,0.140840032,0.042286064,-0.022918215,-0.079252903,-0.684171627,0.887867507,0.730497282,0.211500932,0.314682922,1.500905623,0.277887484,-0.530733865,1.068943712,-0.454276779,0.453748315,0.727248776,-0.951539342,-1.180117536,-0.944928888,-1.281723515,-0.542695942,0.738446533,0.30204219,-0.609145745,lyrical
-0.819042618,-0.451282787,-0.578711035,-0.789828119,-1.061150598,-0.660358685,-0.907359783,-0.510120062,-0.014482933,-0.237649469,0.36378347,-1.599657027,-1.393815198,-0.966555363,-0.962962478,-1.025266122,-0.373397484,0.170764613,-0.090445142,1.514046874,-0.24041355,1.272303524,2.271116538,1.164463416,2.418687313,-0.204818031,-0.353563854,-0.481197402,-0.633140283,-0.081577696,lyrical
1.567782658,1.74248149,2.882421165,1.486412514,-0.120967923,-0.598311484,-0.450290885,-0.719555149,-0.754845614,1.291696687,0.058758731,0.122682085,0.057624308,-0.420476944,-0.312151884,0.859224845,-1.12207488,1.470740999,-0.372285526,-1.453457654,-0.408539153,-1.232380592,-0.793894406,-0.323203735,-0.709302046,-0.443212835,-0.506642378,1.841537464,0.523876172,0.251837321,lyrical
-0.879865138,-0.877669903,-0.839172503,-0.735802549,-0.196986936,-0.305803098,-0.083472291,-0.217882993,-0.21847171,-0.729225019,-0.458673228,-0.135757374,0.009459769,-0.119510456,-0.138733625,-0.568999464,1.376354025,-1.281301778,0.588533966,-0.513920494,0.729897298,0.040050495,0.379293287,0.126898187,0.341000689,-0.154179335,1.094250481,-0.897458131,-0.55049625,0.530971557,no
-0.53830294,-0.416648455,0.318593033,-0.455935391,-0.391707182,-0.768304272,-0.436159,-0.811161697,-0.910637128,-0.540787724,-0.761605117,-0.159604475,-0.083223576,-0.436007515,-0.356095384,-0.45754696,0.167797741,-0.430096356,0.306693582,0.330812602,-0.831563207,-1.286776351,-0.034952215,-0.31098037,-0.022932434,-0.220689954,0.807720754,-0.073261888,-0.41783083,-0.240476294,no
-0.11252766,-0.392789248,-0.260289735,-0.119470016,0.265266531,-0.240614156,0.293576537,-0.221699976,-0.436689537,-0.456127491,-0.521583841,-0.293579798,-0.267875486,0.194890795,-0.079512731,-0.203527065,-0.39744238,0.202470423,0.146557,0.286999844,0.669316734,0.264865404,0.104905254,0.014043189,0.136535934,-0.008860824,0.276134851,-0.33134354,-0.424355358,-0.343405284,no
