"","titles_vec","labels_vec","word_counts_vec","sent_counts_vec","para_counts_vec","commas_vec","sent_comma_freq_vec","para_comma_freq_vec","words_per_sentence_vec","words_per_paragraph_vec","sents_per_paragraph_vec","consecutive_counts_vec","consecutive_repeat_freq_vec","syll_and_word_freq_vec","polsyll_and_word_freq_vec","syll_and_sent_freq_vec","polsyll_and_sent_freq_vec","unique_counts_vec","type_token_ratio_vec","mean_usage_frequency_vec","numeric_labels_vec"
"11","orlando","lyrical",79547,3292,451,6047,1.8368772782503,13.4079822616408,24.163730255164,176.379157427938,7.29933481152993,243,0.0738153098420413,1.35302399839089,0.0751253975637045,32.6941069258809,1.81530984204131,9397,0.118131419160999,8.4651484516335,1
"12","paleFire","lyrical",68132,2546,971,4387,1.72309505106049,4.51802265705458,26.7604084838963,70.1668383110196,2.62203913491246,150,0.0589159465828751,1.44999412904362,0.106073504373862,38.8024351924588,2.83857030636292,11456,0.168144190688663,5.94727653631285,1
"13","portraitOfTheArtist","lyrical",84927,4452,2208,4258,0.956424079065588,1.92844202898551,19.0761455525606,38.4633152173913,2.01630434782609,421,0.0945642407906559,1.34533187325586,0.0649498981478211,25.6637466307278,1.23899371069182,9190,0.10821058085179,9.24124047878128,1
"14","pym","lyrical",100954,3680,625,8674,2.3570652173913,13.8784,27.433152173913,161.5264,5.888,284,0.0771739130434783,1.45418705549062,0.109227965211879,39.8929347826087,2.99646739130435,9170,0.0908334488975177,11.0091603053435,1
"15","somethingHappened","lyrical",190235,14994,5124,9857,0.657396291850073,1.92369242779079,12.687408296652,37.126268540203,2.92622950819672,2252,0.150193410697612,1.33369779483271,0.0680421583830525,16.921168467387,0.86327864479125,12694,0.0667279943228113,14.9862139593509,1
"16","theGreatGatsby","lyrical",48818,3296,1589,2971,0.901395631067961,1.86972938955318,14.811286407767,30.7224669603524,2.07426054122089,190,0.0576456310679612,1.35902740792331,0.0738047441517473,20.1289441747573,1.0931432038835,5959,0.122065631529354,8.1923141466689,1
"17","thePedersenKid","lyrical",23702,2622,789,1036,0.395118230358505,1.31305449936629,9.03966437833715,30.0405576679341,3.32319391634981,269,0.102593440122044,1.18036452620032,0.0209686946249262,10.6700991609458,0.189549961861175,2442,0.103029280229516,9.70597870597871,1
"18","thePictureOfDorianGray","lyrical",79289,6251,1524,5360,0.857462805951048,3.51706036745407,12.6842105263158,52.0269028871391,4.10170603674541,505,0.0807870740681491,1.33343843408291,0.0638928476837897,16.9136138217885,0.810430331147016,7113,0.0897097958102637,11.1470546885983,1
"19","theRainbow","lyrical",187559,12278,4524,15133,1.23252972796872,3.34504862953139,15.2760221534452,41.4586648983201,2.71396993810787,1163,0.094722267470272,1.34605644090659,0.0691409103268838,20.5623880110767,1.05619807786284,11237,0.0599118144157305,16.6911987185192,1
"20","theRoad","lyrical",58702,6533,2467,814,0.124598193785397,0.329955411430888,8.98545844175723,23.7948925820835,2.64815565464126,643,0.0984233889484157,1.20202037409288,0.0258083199890975,10.800704117557,0.231899586713608,4776,0.0813600899458281,12.2910385259631,1
"21","theSerpent","lyrical",172685,13587,4984,15251,1.12247000809597,3.05999197431782,12.7095753293589,34.6478731942215,2.72612359550562,1130,0.0831677338632516,1.33727886035267,0.0671569620986189,16.9962464120115,0.8535364686833,10491,0.0607522367316212,16.4602993041655,1
"22","theSoundAndTheFury","lyrical",96472,9197,3208,5199,0.565293030335979,1.62063591022444,10.4895074480809,30.072319201995,2.86689526184539,569,0.0618680004349244,1.23239903806286,0.0288995770793598,12.9272588887681,0.303142329020333,6123,0.063469193133759,15.7556753225543,1
